"","fit","lwr","upr"
"1",1630.78115190759,66.0315346319762,3195.53076918321
"2",1653.79133872071,375.428033968373,2932.15464347304
"3",4183.42332278495,3192.04081524997,5174.80583031992
"4",1932.66341388251,1027.06573904303,2838.26108872199
"5",3906.18559742387,2914.69661772626,4897.67457712148
"6",1995.23416394159,1156.29194751799,2834.17638036519
"7",595.876239690888,-243.005582022097,1434.75806140387
"8",1966.7470077517,858.869614828329,3074.62440067507
"9",956.30957038916,-151.435421179001,2064.05456195732
"10",2140.82358013437,1032.9490611472,3248.69809912154
"11",1480.25242880495,201.891946660304,2758.61291094959
"12",1829.89997405925,991.018145670522,2668.78180244799
"13",4277.79174356122,3372.19096802882,5183.39251909362
"14",1676.53386419139,771.010308000564,2582.05742038222
"15",-323.981577713355,-1889.12259217784,1241.15943675113
"16",1817.87421472161,826.495044685833,2809.25338475739
"17",5330.68599788656,4491.84541774738,6169.52657802573
"18",2261.82786998984,1154.07967465997,3369.57606531971
"19",1460.815336697,-103.942190449513,3025.57286384352
"20",3469.83662852891,2564.31353712371,4375.3597199341
"21",2512.23723829867,1404.49623410728,3619.97824249006
"22",3416.221284982,2424.83968280299,4407.60288716101
"23",572.247626131303,-419.135726692769,1563.63097895538
"24",2249.91906971543,1258.55721123981,3241.28092819104
"25",908.043982424751,-200.786369066872,2016.87433391637
"26",3762.08988034839,2654.21360859474,4869.96615210204
"27",863.549438500775,-127.939595085581,1855.03847208713
"28",1449.3254484288,457.761761589701,2440.88913526791
"29",3151.22060098776,2245.6210085245,4056.82019345103
"30",1875.49597299077,597.129247441723,3153.86269853983
"31",852.886246372499,-425.674893430416,2131.44738617541
"32",916.286235083939,-76.4709841823975,1909.04345435028
"33",668.225707244369,-439.526269809676,1775.97768429841
"34",3025.2810159803,1917.53401455212,4133.02801740849
"35",4341.16718268887,3233.42384197564,5448.91052340211
"36",4209.20427962802,2644.44715413248,5773.96140512356
"37",1532.12451369108,540.751714975393,2523.49731240677
"38",1891.19277490254,326.437287966727,3455.94826183835
"39",3521.30934280651,2529.84207230992,4512.7766133031
"40",1406.38028692489,298.37918893561,2514.38138491417
